id,is_public,name,status,description,holder_id,start_time,end_time,start_date,end_date,duration
1,True,部門會議更新,active,會議目的是整理當前的資源分配方案。,599,16:15:00,20:15:00,2022-03-18,2022-03-18,1 hours 45 minutes
2,True,聚會菜單,active,咖啡廳聚會，聊聊天。,54,16:30:00,21:30:00,2022-02-01,2022-02-03,2 hours 15 minutes
3,False,咖啡廳聚會菜單,active,決定週末桌遊活動的地點與人數。,862,11:00:00,20:00:00,2023-02-07,2023-02-20,2 hours 0 minutes
4,True,產品研討日程,active,重點更新公司的市場推廣計劃。,59,10:00:00,14:15:00,2023-04-30,2023-05-07,1 hours 15 minutes
5,True,期末報告分析,active,討論畢業專題計劃與初步內容框架。,467,11:15:00,19:15:00,2022-01-15,2022-01-19,0 hours 45 minutes
6,False,產品研討報告,active,此次聚會為團隊建設，增強凝聚力。,270,11:00:00,20:45:00,2024-02-23,2024-03-10,1 hours 45 minutes
7,False,公司簡報總結,active,會議目的是整理當前的資源分配方案。,1,07:30:00,16:00:00,2024-11-28,2024-11-29,2 hours 45 minutes
8,False,輕鬆聚會清單,active,討論好友聚會中的分工與飲料準備。,315,18:00:00,20:00:00,2022-07-14,2022-07-21,0 hours 45 minutes
9,False,專題作業進度,deleted,解決數學作業中難題的討論會。,261,10:30:00,22:30:00,2023-01-21,2023-01-29,0 hours 45 minutes
10,True,小組討論報告,active,大家來臨時報佛腳，不想被當掉 QQ。,798,15:00:00,20:30:00,2023-08-07,2023-08-15,2 hours 45 minutes
11,False,年度大會總結,active,認真衝業績啊你各位。,240,12:00:00,15:45:00,2023-09-25,2023-10-05,3 hours 0 minutes
12,False,小組討論更新,active,準備小組作業並確認研究方向。,807,08:45:00,22:00:00,2024-02-23,2024-03-11,0 hours 45 minutes
13,True,興趣分享細節,active,討論好友聚會中的分工與飲料準備。,800,18:00:00,21:15:00,2022-02-26,2022-03-08,1 hours 30 minutes
14,False,數據分析討論,active,為即將舉行的模擬考制定復習計劃。,347,16:30:00,22:00:00,2024-11-12,2024-11-23,2 hours 0 minutes
15,True,專題作業進度,active,討論畢業專題計劃與初步內容框架。,986,14:45:00,15:45:00,2022-04-09,2022-04-14,0 hours 45 minutes
16,True,年度大會總結,active,這次會議主要討論未來的發展方向與策略。,258,08:00:00,17:30:00,2022-09-10,2022-09-15,2 hours 45 minutes
17,False,興趣分享討論,active,要見面了ㄟ，嗚嗚嗚嗚嗚嗚好爽喔！,415,17:30:00,18:30:00,2023-10-29,2023-10-30,1 hours 15 minutes
18,True,培訓活動總結,active,針對最新的政策變化進行應對討論。,634,12:00:00,16:45:00,2022-12-04,2022-12-09,0 hours 45 minutes
19,False,產品研討討論,active,本次會議旨在解決現有的產品問題。,322,12:30:00,15:15:00,2024-10-13,2024-10-15,0 hours 45 minutes
20,False,聚會討論,active,討論好友聚會中的分工與飲料準備。,612,13:45:00,15:30:00,2022-09-15,2022-09-20,2 hours 45 minutes
21,False,技術討論檢討,active,認真衝業績啊你各位。,126,14:15:00,22:15:00,2023-06-11,2023-06-16,0 hours 45 minutes
22,True,期末報告討論,active,為即將舉行的模擬考制定復習計劃。,792,13:00:00,19:00:00,2023-09-22,2023-10-05,3 hours 0 minutes
23,False,公司簡報重點,active,會議目的是整理當前的資源分配方案。,451,17:15:00,23:00:00,2024-02-24,2024-03-08,2 hours 0 minutes
24,True,戶外遊戲清單,active,計劃一場週五晚餐聚會的主題與菜單。,6,14:45:00,20:30:00,2024-05-06,2024-05-07,1 hours 45 minutes
25,False,興趣分享清單,active,計劃在郊外舉行的音樂分享會。,215,11:00:00,15:30:00,2024-09-12,2024-09-30,2 hours 30 minutes
26,False,專案會議報告,active,此次聚會為團隊建設，增強凝聚力。,649,07:15:00,22:45:00,2022-06-21,2022-06-24,0 hours 30 minutes
27,False,週末晚餐細節,active,討論電影之夜的片單與時間。,11,11:00:00,21:15:00,2024-05-11,2024-05-18,2 hours 15 minutes
28,False,戶外遊戲計劃,deleted,商討聚會中遊戲與活動的安排。,724,09:30:00,14:30:00,2024-03-21,2024-04-04,0 hours 45 minutes
29,False,課堂簡報分工,active,準備課堂簡報內容與練習展示技巧。,915,07:15:00,13:30:00,2023-09-01,2023-09-10,1 hours 15 minutes
